Puzzle,Solution,
....321......12.,1432321423414123,
...31..4.1..4...,2413132431424231,
4.1...4.1.2.....,4213314213242431,
......41.124....,1432234131244213,
..31.......3.2..,2431134241233214,
2.1.1..4......42,2413132442313142,
2..3...2.1......,2413134231244231,
314.........4.3.,3142241313244231,
.41....2.1......,2413134231244231,
.3.2........1.3.,4312214334211234,
..4.2......33.2.,1342243142133124,
1....2....4.2.1.,1324423131422413,
.2.4.3.2.....4..,1234431221433421,
.....1.24.2.....,2413314243211234,
......34.3....2.,3412123423414123,
.2..1......2.31.,3241142341322314,
3..11..4.......3,3421123443122143,
.1...34....3....,4132234114233214,
3.....2.......12,3241142321344312,
4...1......1...3,4312123434212143,
.4.1..2.1....2..,2431312413424213,
.....1...3.1..2.,3214413223411423,
43...2.....2..4.,4321123434122143,
2...1..4....4..2,2413132432414132,
.1.......31....2,4123324123141432,
2....1...42....1,2314413214233241,
.2...3.2......4.,1234431234212143,
.......4.3...41.,4231312413422413,
..4...1.3...4...,1342241331244231,
.2...4.1......4.,1234342143122143,
....3..44.31....,2413312442311342,
..3....4.....32.,1432321421434321,
.1.24.....1....4,3142423124131324,
..34..2..4..2...,1234432134122143,
.....2.32.1.....,3421124323144132,
.1..4.1...4.3...,2134431212433421,
.2..31...3.1....,4213312423411432,
.3..2........13.,1324241332414132,
..1..3...43....4,4213134224313124,
.2.....2...3.4..,1234431221433421,
.....4..1..4...2,2143342112344312,
....31..2.....3.,4213312423411432,
...2.4...1..4.1.,1342243131244213,
.....41..1.34...,1234341221434321,
1....2..4.1.....,1423324143122134,
..34......4..2..,2134342113424213,
.41..3.......13.,2413132432414132,
....13.2.....2.3,2431134231244213,
..1....2.1..2.4.,3214143241232341,
.....3.....42..3,4231134231242413,
....3..2.....42.,4231314223141423,
..4....22..3....,3241413224131324,
..2....4...33.4.,4321123424133142,
4......2...41...,4231314223141423,
.3.....4......13,4321123431422413,
...2.2...1.....3,1342423131242413,
..4....1..1..4.2,2143432132141432,
....2.3...4.3.2.,4312213412433421,
3....4..2....3.2,3241142321344312,
.4...14........3,2431314213244213,
...4..3..1...4.3,1324423131422413,
1.....2...1.4...,1243342123144132,
.4.3.3.1.....1..,1423234132144132,
.1..4.1...4.2...,3124421313422431,
...21..3.....3..,3412124321344321,
.....13..312....,3421213443121243,
......14.2..4..2,1423231432414132,
.4.33.1......1..,1423321423414132,
......3.2...3..4,1342423124133124,
.....4.1.124....,1342243131244213,
..4..1...2..1..2,2341412332141432,
.....1..2..3...2,4231312424131342,
4.........3.1..4,4213314224311324,
....3.1.4...1.4.,2134341243211243,
.42..2.....3....,3421123421434312,
.1......1.4..4.3,3124423113422413,
....24..1.2....1,3142241313244231,
......413....43.,4123234132141432,
2.4......2.1....,2143341242311324,
.....1.4.....241,4312213414233241,
43.2.........2.3,4312213434211243,
.23....2....13..,4231314224131324,
.4...13......31.,3421213412434312,
3.....1.2.....3.,3124421323411432,
.4..2..4.2....3.,1423231432414132,
2..33..4.......2,2413312442311342,
.1.34..........1,2143431212343421,
..2..3..31......,1423231431424231,
...4..1..14..3..,1234341221434321,
4...1.2....2..1.,4231132431422413,
...1..3.3.4.....,4321123431422413,
......3..2...4.2,4321213412433412,
....14....43....,3214143221434321,
..32.....243....,4132231412433421,
.3...2.3......1.,4321124321343412,
1........21...4.,1324243142133142,
.2.....42.1..1..,4231132424133142,
....4....34...1.,3124423113422413,
.3....2.....34..,2341412312343412,
....14..3.....1.,2341143231244213,
