Puzzle,Solution Count,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
8..2.9...9.....36.4..1.............4......7.2....7.18...6.3.8..3.97.24.....4...1.,1,24,45,12,1,0,3,0,0,0,Intermediate,
.81.........84.......7...6597........14.............57.685...2412..86.9.7........,1,24,40,17,0,0,0,0,0,0,Easy,
2..96..3..9.4..86...513..42....453...4..8.219.8....6....9.2.5...5..1.............,1,28,39,13,2,0,1,1,1,0,Expert,
..58.34..3.6.52......7...8....2..7..6.......9.5....8........2.7..3....9.7296..34.,1,26,48,7,2,0,1,0,0,0,Intermediate,
......981.......4..83...5....4.9.8....1.43..6....6....6..1.9..7...7.....37.68..5.,1,25,42,14,0,0,0,0,0,0,Easy,
............63.7.....587....7.....8243...1..5.5.2...4..........54.7..31..813.4...,1,25,40,15,4,0,1,1,1,0,Expert,
.27...9...58....244..............2..31.8.4..5...93..48.....3.8...2.....3..9.5....,1,24,36,20,1,0,0,0,1,2,Expert,
6......4....4....5....85...3...9....8..2..9..4.63..5.....9...38...6....4..8.2..1.,1,23,34,24,1,0,0,0,0,0,Intermediate,
.349....1.297.....7.........92....6.6....93.73.......8....67.3.8.........16....2.,1,24,57,0,0,0,0,0,0,0,Simple,
....21.7.....7.348.49........3.1.7....45....2..2....8.....8.13.......9.7.3..4....,1,24,45,12,0,0,0,0,0,0,Easy,
1...98..7....7......2............56.7..5...21.....4.....4...2..6...8..9..587.21..,1,23,38,16,2,1,1,1,4,2,Expert,
9..47.13...3.2...8..................2..81.795....97.12..73...8.....512.......2.7.,1,26,44,11,1,0,1,0,0,0,Intermediate,
.3....47..9.6..3..8...9......9.4.2.756.2......4.....6......5..4......8.....479..5,1,24,33,24,2,0,0,0,0,0,Intermediate,
....36......2..6...8..492..94..2..1......4......51.....63.98..5..4...1...2....9.8,1,25,39,16,5,0,0,0,1,0,Expert,
......517.5..4.8..8...76....1....96...6.8....3...........8.47.9.......3..3..9765.,1,25,44,12,0,0,0,0,0,0,Easy,
........2....947....237..6.....6........35....6.9..51.9.......3.1.4....76..1..49.,1,24,46,11,0,0,0,0,0,0,Easy,
.......4.3...41.56......9.7.51..6..46.32....19.2..........17532......7......23..9,1,27,45,7,2,0,6,0,2,0,Expert,
..8..74..42.8.6...7354..6...7....3.8...2...645......1.....4..51..3...8.........7.,1,26,36,17,1,1,1,0,2,2,Expert,
1..2....59..5.3..8.52.1...4..9.4.3......3...9......6......69.8............3..2591,1,25,46,10,0,0,0,0,0,0,Easy,
6......1.934.......25...7..3..1..52...2...9...47.9.3..7..35..9..5...163.4.......7,1,28,41,12,0,0,0,0,0,0,Easy,
7..9..8.63.....7..4..3...95.3.....2....2..36.5.......7.64..3.7....6..2...7...9.8.,1,26,47,7,1,0,1,0,1,0,Expert,
.59...1.....4.1....8.37....3......2......4..7.18..39...3....2..8.1.25....7.......,1,23,47,11,0,0,0,0,0,0,Easy,
.1.7.4.....5.29.6..2.5....12......7..98.5..1646...2..8......9.........2.....78...,1,25,42,13,2,3,2,2,1,2,Expert,
2....14.8..6.7...2.....31..1.78.....84........23..........2..5..781........5..7..,1,23,32,26,0,0,0,0,0,0,Easy,
8.2..34...1.4.2.8...3.571......1.......6...37.3...4..8.....175...........5....863,1,26,43,12,0,0,0,0,0,0,Easy,
.39.............45.....67.367.83......8...1...534196...8..4...6............57..9.,1,25,40,15,0,0,2,2,1,0,Expert,
17........82...3...6...12......9.....37....1...87...5.........85..27.....2..637..,1,23,37,20,0,1,1,2,1,6,Expert,
....5....94...3..85.7914....7.2.1.8......9354.9.4.....8.....9....2.....1........5,1,25,47,9,0,0,0,0,0,0,Easy,
.4.1........478...7...6....5....13..2.874..1.....8......1..3.....4.2.....7.6..58.,1,24,43,14,3,0,0,0,0,0,Intermediate,
...7...2.9..2....4.....8.5.2.76.....6.84....3.95...7......6.....29......4....3.8.,1,23,46,12,0,0,1,0,0,0,Intermediate,
....8..4....4.51231........7..52....3...7841...4....5......179.8.......2..3......,1,24,28,29,0,0,0,0,0,0,Easy,
..1..3..6..4..8......6..........4.....5.8.3.....39.41.248..59.3.19.42.6..........,1,25,42,14,0,0,0,0,0,0,Easy,
..4....6.5....6...1..57....9.7.13..58...4......3.......351...9....4.8....1.6..3.7,1,25,38,18,1,0,0,0,0,0,Intermediate,
.7......86..25.7.95.2....36.5.9.1.6.....8....8....2....6.8...5....72......9...1..,1,25,37,17,0,1,0,0,2,2,Expert,
8.....6...2...5.4.1.68....2....6..8...7....3..6.2.1.5.37.5....4.1............45..,1,24,39,15,1,0,1,0,3,4,Expert,
....1.5.....8........362.476..1..7..3......1.5...748......2.4...1.685..3.......75,1,26,54,1,0,0,0,0,0,0,Easy,
.15248.6.....5....2.......1..85..1.79.7.....265..7..84........8...619........4...,1,26,44,11,0,0,0,0,0,0,Easy,
....29......5......5...1......25..3868....5...2.4..6.9..2.8...3.91....5.3.41....6,1,26,49,6,0,0,0,0,0,0,Easy,
41....85.9....2.7....9..4.223.8......8......7...........13......57.89...8..47...3,1,25,54,2,0,0,0,0,0,0,Easy,
82...5.....9...3...617..5....5.....97........213.9.......8..91..8...6.5.95...72.8,1,27,42,9,0,0,3,1,3,4,Expert,
...49...3..43.2.7..5.....2.....1..9..4..3.8.25..9..4..8..5..9......7.......8.3.4.,1,25,35,19,2,1,1,1,2,2,Expert,
.6..1...2..567.38...3..5..6..1......7.........8..57..98.7.21.3.....8..9.....637..,1,27,50,4,0,0,0,0,0,0,Easy,
.....2...963.1..2.1..5.....7.1...5.....9.....62..4573....7....12.6.3.........6.5.,1,25,37,19,2,0,3,0,0,0,Intermediate,
.1......2....9..48..2.53.9.....8..3.......2.929.....15..9.....13.5..4....21...6..,1,25,51,5,0,0,0,0,0,0,Easy,
...23..4...9..12.8.....8..6..86..4...3..4....2.7.9..3..61......4................9,1,22,39,19,1,0,1,0,1,0,Expert,
......6.8......29....9...4..6..1.4.9..2..61...4.......48.36...7..3..7.1.9.1..43..,1,26,37,18,3,0,1,0,0,0,Intermediate,
..2..81............471.6.......8..728..5274.1...9....5.5.67....2....5.8...4..9...,1,26,41,11,2,2,0,0,3,4,Expert,
...5...3.....8.47.........1........498..3..1...74..9855..3.48.9.7........9.61...3,1,26,38,17,0,0,0,0,0,0,Easy,
.38..2....7........29....7.4....81.72167.43......9.46.........1.63.8.......4..7.9,1,27,50,4,0,0,0,0,0,0,Easy,
8...9...7..7...635........15.........4...938...18...6.6.....45.485.6..7..........,1,24,53,4,0,0,0,0,0,0,Easy,
12......6.46...58....8..1....1..6..2....7.....741..8...5.2......3......7...54....,1,23,43,15,0,0,4,0,0,0,Intermediate,
6..2.97..5..1.....8..75.96..6.52..7...7..8.9.18.9....6......3...93....5.7........,1,27,44,10,0,0,0,0,0,0,Easy,
..9...3.86...1....41...76.........3.18....56...7...8..5.........7.3.8....6....791,1,24,39,18,1,0,0,0,0,0,Intermediate,
...........5..8...9.415..8332.......1..3....9.59..........3.75..7..49.18..12.....,1,25,48,7,0,0,1,0,1,0,Expert,
68.9.32............13...8...2.8.........1.548..163...2.6.2.84..9.........52.9....,1,26,55,0,0,0,0,0,0,0,Simple,
.7...9....3.4....6.......9.......2.44..8.2.6..9...7.3.9.43.1..2..6......3..298...,1,25,41,15,0,0,0,0,0,0,Easy,
